parsed_kigo,parsed_haiku
雪,雪 深し 顎 の 悴 かむら り るれ ろ
夾竹桃,大阪 の ことば さばさば 夾竹桃
雪,雪国 に 生き て たまげる 今朝 の 雪
鰤 起し,巻舌 の 濤 の 暗黒 鰤 起し
梨,梨の木 に 用 あり 飛 驒 の 大人
早春,早春 と は 母 に 呼吸 の あり し こと
更衣,とりあえず 塩 と 答え て 更衣
座禅 草,座禅 草 ときどき 時間 吐き に けり
泳ぎ,素 潜り の 水 の 青 さ で 喋ろ う よ
秋 の 暮,秋 の 暮 なんだかんだ と 配管 工
陽炎,こと り と 母 家中 に 陽炎 が
草餅,まだ 生き て おり 草餅 の 草 の 声
赤 鱏,大方 は 鱏 の 鰭 なり ばさばさ す
藪 柑子,だれ に 告ぐ 仰向け の 死者 藪 柑子
菜の花,バーベル を 水平 に 菜の花 盛り
昼顔,諸 草 に 力 あり その 上 に 昼顔
夏蜜柑,夏 柑 の ぽとぽと り 草生す 屍
昼顔,昼顔 から 列車 は 黒く 長く 行く
青田,越 遥か ひと 世 の 青田 すわり たる
鯨,渋谷 雑踏 鯨 屋 の 灯 も あり ぬ
第 九,第 九 いま いきなり 黒 の 雲水 ら
柿,卓袱台 の どこ か が いびつ 柿 家族
流星,昼 星 も しきりに 落ちる 海 の 墓
冬,無 糖 ブラック なら ん 冬 の 血潮 は
春,男鹿 の 春 ほう ほう と 刳り 舟 を 吊り
苺,苺 なら 猫 の 黒 眼 と 換えよ う か
月,月 に はや 溶け はじめ たる 納棺 師
大文字,大文字 これ より タンゴ しきりに タンゴ
夕 焼,夕 焼 は 艸負 いか ぶり て も 見 ゆる
ストーブ,煖炉 焚け 焚け 赤ん坊 生る
萍,萍 の 波 浮き立ち て 来 たり けり
耕,八方 明るし 耕 牛 眼 を 張り 湧く 力
雀 の 子,夜学 教師 と 西日 まみれ の 雀 の 子
梨,雲 ひしめく 夜 の 山脈 梨 剥け ば
曼珠沙華,日 が 暮れ て まだ こ ゑのこる 曼珠沙華
雪,はじまり ぬ 雪国 の 夜 の 片 笑窪
雪,雪国 のま ん さく の 黄 の 法事 菓子
雪,雪嶺 は 父 この 橋 とき に 酔う て 帰る
緑,首 が 出 て 緑 より 濃き 山羊 の 白
桜 鯛,桜 鯛 フォッサマグナ の 北 の 岬
餅,餅 を 切る 田 の すみ ずみ を 諳 じ て
青葉 木菟,青葉 木菟 幹 の ま はり が 消え失せ ぬ
雪,積雪 の 陰 の ご とく に 煙出し
雪,夕暮 は 人 より も 木 の 雪 後 にて
雪,落日 を 海 へ 出し たり 雪 濁
秋 収め,すたすた と 歩い て ゐ たる 田 の 終 ひ
スキー,スラローム 三 間 とん で 火 の 笹子
夏 に 入る,親 不知 雪 濁 出 て 夏 に 入る
青 柿,青 柿 や 双子 また よく 似 て き たり
秋,櫂 を もて 離れ て ゆき ぬ 秋 の 人
雪 解 川,雪 解 川 ほんの 一部 が 海 へ 出 て
夜 の 秋,仏 出 て 真水 欲し がる 夜 の 秋
紅梅,咲 くま へ の 紅梅 の 辺 に つよき 杭
蟬,オポチュニスト と 蟬 の 屍 あまた 草田男 死す
秋 の 暮,秋 の 暮 レール が 二 本 ゆ ゑ 愛す
小春,小六月 雀 も 村 を 捨て に けり
雪,バス 待つ 我と 雪 降る 我 の 道路 鏡
秋,仏壇 の 秋 暑 の 扉 開け て あり
春,真上 より 春 の 清水 に くち づけ す
繍毬 花,のぼりつめ 海道 見 ゆる 蔓 手毬
初 景色,こ ゑにして 鳶 の 描ける 初 景色
朴 の 花,朴 咲い て 海道 とき に 山 の 中
秋,三 尺 も 跳ぶ あ めんば う 山 の 秋
稲 刈,稲 刈 の はじ まつ て ゐる 沖 の 女郎
蝶,蝶 が 出 て 減反 つ ひ に 荒々し
木の芽,木の芽 出 て 山刀伐峠 ざわざわ す
法師 蟬,人 待ち の つく つく ほふ し 木 を 替 へ て
羅,癌 といふ かく 単純 な 一 軽羅
白鳥,風土記 に は なき 白鳥 の 沼 ひとつ
白鳥,白鳥 と 六 尺 隔 つ 平野 か な
真菰 の 花,薦 織 つて 真菰 の 匂 ふ 雪 晒し
冬,読み耽り たる マルクス は 冬 の 書 か
鶏頭,鶏頭 に 湾 の 上空 懸かり けり
落葉,落葉 掃く 箒 わが 句 に 立てかけよ
時雨,良寛 も 借り し しぐれ の 軒 なら む
蜩,蜩 が 鳴く ひぐらし が 鳴い て ゐる
緑陰,緑陰 の 笑顔 そんなに さびしき か
桜餅,就中 桜餅 は 出 はじめ が よい
春,技芸 天女 は わが 恋 仏 春 の 塵
植田,いち早く 電柱 映る 田 が 植わり
茅の輪,あきらか に 茅の輪 くぐり し 前 と 後
秋,傾け て 全 き 秋 の 日本海
柚子 湯,据風呂 は 遙 か なる 闇 柚子 ひとつ
春 の 草,戦争 の 種 の 尽き たる 春 の 草
凧,凧 揚げる 目 の 線 指 に 糸 の 線
田打,低き 方 ひくき 方 へ と 田 を 均し
鮭,ふるさと に 鮭 帰る 川 君 も か へる
雪 催,前 の 人 うし ろ の 人 も 雪 催
大根,大根 を 抜け ば 地球 が 廻る なり
秋 高し,家中 の 力 を 合 は せ 天 高し
初夢,肌 触れ さ う な 初夢 の 錦鯉
朴 落葉,朴 落葉 始 まつ て ゐる 標高 差
蕗の薹,ちゃん まいろ と は 魁 の 土地 言葉
春,海 越え て 来し 天平 の 春 の 舞
桜,から かさ を ひらけ ば 雨 の 桜 か な
終戦 記念 日,駐車 場 そこ は 八月 十 五 日
夕立,白雨 いま 越後 くに は ら 空 破れ
名月,名月 の 位 に 即 くま で の 昇り か な
時雨,名香 山 の 傘寿 しぐれ と なり に けり
日脚 伸 ぶ,すこし づつ 日脚 伸び つつ 雪 降り つつ
春,樹木 みな 根 びらき といふ 春 纏 ふ
春の 川,ふるさと を 光 ながれ て 春の 川
春 の 灯,一 戸 残り ぬ 春 燈 こぼす ため
法師 蟬,木 を 替 へ て また はじめ から 法師 蟬
喜 雨,大粒 な 一 粒 づつのやがて 喜 雨
桜,満開 の さくら 彩り 雪 が ふる
雪,雪 が ふる おの が 重 さ を 舞 ひ ながら
春,天心 に 春 の 浄土 を 照らす 月
刈田,一望 の 刈田 故郷 の 景 と なり
梅,梅 咲い て 鏡 の 中 の 顔 を 剃る
終戦 記念 日,あめ つ ちの この 雨 の 音 終戦 日
十二月,十二月 八 日 雪嶺 秀 を き そ ふ
水 温む,水底 の 石 の かたち に 温む 水
梅雨,倒影 の 葦 うつくしき 梅雨 の 沼
甘藷,干 藷 の 噛め ば 噛む ほど 人 の 味
秋,イチロー の 野球 哲学 秋 ふか む
花,ブラックホール へ 吸わ れ 行く 花見 客
冬 銀河,素通し の エレベーター 行け り 冬 銀河
種芋,暗がり に じゃがいも の 芽 の 増殖 中
青山 河,自 死 という 選択 も あり 青 樹海
蟻,蟻 の 列 海 割れる 日 を 待ち て おり
向日葵,たま しい の 漂う に 似 て ひまわり は
冬 の 川,冬 の 川原 風景 を 死者 流れ
背 高 泡 立 草,冥王星 消え セイタカアワダチソウ
陽炎,陽炎 を 溺れ どの 手 を 掴も う か
女 正月,体内 に くらき 部屋 あり 女 正月
桜,さくら さくら 生き て 死ぬ それだけ の こと
蝶,森 深く 蝶 の 乱舞 と 出合い けり
蛍,たま し いや みんな 螢 に 還る とき
八月,八月 の 遺書 書く よう に 俳句 書く
西瓜,ふる里 に 西瓜 を 冷やす だけ の 井戸
水芭蕉,たま しい に かたち の あれ ば 水芭蕉
沖縄 慰霊 の 日,生き 過ぎ た 母 たち 泣かす 沖縄 忌
夜長,ジョーカー の 捨て 時 逸す 夜長 か な
寒紅,逝く とき は 寒紅 一 本 あれ ば よし
春,春 遅々 と 先 の 詰まり し 醤油 差し
大寒,大寒 や 巌 の ごとき 壁 に 凭 る
曼珠沙華,彼岸花 忌み て は みれ ど 美しく
雑炊,雑炊 も 人 の なさけ も さび しかり
桐 の 花,桐 の 花 人 の 世 より も 高く 咲き
月,雲海 に 嶽 の かげ おく 月夜 か な
五月,航 ゆるく 五月 の 幟 陸 に 見 し
稲妻,稲妻 に 穂高 むら 尾根 光り 合 ふ
雪渓,雪渓 を わたる さびし さ 秘 むべ き や
登山,登山 靴 あぶら 塗ら ん と 掴み を り
七夕,七夕 や 男 忘れ て 病み 居 たり
朝顔,病 愁 に 朝顔 花 を いそが ず や
蝌蚪,蝌蚪 壜 に 育ち 野川 の こと 知ら ず
朧,おぼろ 夜 の 身 起せ ば あり し 妻 の 衣
獅子 舞,獅子舞 を 見る に も 膝 に 子 を 置け り
蛇,棒 の 如き 全長 と なり 蛇 泳ぐ
枯菊,枯菊 の 燃える さなか は 花 より 美し
冬木,枯木 折る なほ 蓄 へ し 生ま の 音
水泳,泳ぎ 足り し 少年 松 の 根 を 愛す
曼珠沙華,曼珠沙華 雲 に も 燃えよ 風 の 岬
早春,早春 の こころ 燃やせる 埴輪 の 眼
初 電車,初 電車 嬰児 誰 に も 手 を 伸べ て
餅搗き,水餅 や 風 音 しか と 吹き 晴 るる
落葉松,落葉松 に 巣箱 秋気 が 湖 から も
梅,梅 さそ ふた しか に 空 を 風 流れ
夏 来る,試走 車 の 色 鮮やか に 夏 来る
寒 鯉,寒 鯉 の 深く 沈み て 石 と なる
夏 嶽,夏 嶽 や 雲 も 奢り の 空 の 貌
霧,霧 湧け ば 無 弦 の 響 永平寺
ねぶた,ねぶた 終 へ 遠き 龍飛 が 波 の 中
稲妻,雷光 に 妙義 走らす 嶺 と ※
乙字 忌,季語 季 感 一 句 つらぬく 乙字 の 忌
秋,真鶴 の 岬 も 秋めく 鵜 の 声 は
蟻,帯状疱疹 東西 無し に 蟻 走る
蝌蚪,わが 顔 を 蹂躙 蝌蚪 の 紐 ほぐれ
独楽,搏 ち 合う て 独楽 の めでた さ 囃さ るる
曼珠沙華,天上 に 戻ら で なん の 曼珠沙華
躑躅,つつじ 燃え 伊豆 の 近 か 富士 親し うす
綿 虫,雪 ばん ば ” 子 取ろ ” の 鬼 が 出 て 来さ う
蛇 笏 忌,蛇 笏 忌 の 空 や 崩せ ぬ 膝 抱い て
初夢,初夢 や 「 楠本 です 」 と 憲吉 が
右府 の 忌,右府 の 忌 の 雨 に も 群れ て 宮 の 鳩
春,生 と 死 の はざま か 春 が 先 き に 逝く
石蕗 の 花,冬葉 忌 咲き 極 むこ と 石蕗 に 無し
浦島 草,浦島 草 よく ぞ 釣竿 忘れ ざる
風船,紙風船 わが 息 宙 に とどめ たる
葱,葱 白し 束ね て 何 か 忘れ ゐ し
初 鏡,また なにか さびしく なり ぬ 初 鏡
十二月,元禄 の 夢 が 雪 呼ぶ 十二月
一月,南 畦 忌 花 の 吉野 に 抱か れ む
蛇,蛇 の 艶 見 て より 堅き 乳房 もつ
牡蠣,牡蠣 啜る 女 いきいき 為事 多し
時雨,初 時雨 帯 むら さき に 逢 は むとす
蝶,蝶 も 吐息 意志 力 なす 男 の 像
大文字,踏切 を 猫 行く 大文字 炎 えつ づけ
行く 秋,ゆく 秋 や 流れ の ごとく 帯 を 解き
海月,乳房 の なにやら 熱し 水母 見る
蛇,悪 城 の 壁 蛇 は たしかに のたうて り
葡萄,葡萄 大房 みるみる 両手 湖 と なる
雁,琴柱 置く 雁 行く 群 の そのまま に
棕櫚,剥ぐ 棕櫚 に こころ の 鷹 を 育て たり
鬼城 忌,鬼城 忌 の 夜 は しづか な 壺 の 肩
月,悔い まだ か うか う として 月 砂漠
水鳥,鎮 ら ぬ 水鳥 破戒 図 と なれ り
淑 気,あかる さ に 淑 気 明日 から また 悪女
月見草,躬 の どこ か 滅び の 色 に 月見草
牡丹,緋 の 牡丹 一 点 見 据 ゑ 生きる こと
桜,桜 咲く とき 漂白 の 詩 と あり
桃 の 花,石 の 相 樹 の 相 包む 桃 の 花
花,深 吉野 の 翳 を 深め し 余 花 残花
寒 牡丹,美しき 戀 に も 誤算 冬 牡丹
冷たし,酔 ざめや 髪 を 眠らす 指 の 冷え
雪女,雪女 雪 の 深 さ に 髪 余す
蛇,嘆く まじ 濁世 を なびく 蛇 の 衣
稲妻,闇 の 稲妻 袈裟 懸 と は かく 美しき
冬,折鶴 の 羽 搏 き を 聴く 夜半 の 冬
綿 虫,綿 蟲 の 魂 とぶ ごとく 風 と くる
葉牡丹,葉牡丹 の 渦 に 快気 の いのち 継ぐ
浅蜊,浅蜊 泣く ひと 日 の 冬 を 吹き上げ て
朧,朧夜 の 五指 しなやか に 火 を つか ひ
落し文,落し文 懸想 は 白 を つくし けり
欄,熊谷 草 むかし の 修羅 を 母衣 に 溜め
霧,霧 ふかき は 心 ふかき の かたち か な
亀 鳴く,戀 も まだ 重 さ の ごとく 亀 の 鳴く
冬 の 灯,人 戀 へ ば 志功 の 天女 冬 の 燈 に
春 の 風,春の 風 どこ か で 鬼 が 泣い て ゐる
小寒,風紋 は 神 の 庭 めき 寒 に 入る
白露,白露 の 月 窓 に しみじみ 帯 を 解く
蓮,別れ と は 深山 蓮 花 の 濃 さ に 濃 さ に
冬 の 蝶,凍 蝶 の 地 より も 低き 息 遣 ひ
寒,ライター の 銀 の 短音 　 　 寒 を 截 る
冬 の 海,冬 の 海 男 は 鍵 の にぶ さ で 彳 つ
芒,従順 こそ 叛逆 ススキ の 風 少し
雪,過去 へ の 切符 売 つ て 下さい 週末 雪
クリスマス,タイム マシン 売り切れ 聖夜 の 玩具 店
虹,リハビリ や 父 の 記憶 へ 虹 架ける
朝焼け,塔婆 の 林立 　 東京 シティ 朝 焼 す
端午 の 節句,風 が 清流 反転 知ら ぬ 鯉幟
手袋,手袋 を は づす 脱皮 の 安堵 あり
向日葵,非常口 ある か 迷路 の ひま はり 園
サングラス,睥睨 す 「 マッカーサー 」 の サングラス
梅雨,戻り 梅雨 「 親展 」 の 二 字 離反 と は
爽やか,少女 に は 見える 羽衣 風 さやか
梅,梅 の 香 や 順路 は 風 の 通り道
曼珠沙華,彼岸花 泉下 泉下 と 彩 運ぶ
花火,父 の 背 ばかり 見 て ゐ た 記憶 遠 花火
冬木,寒 林 へ 風 の 触診 日 の 問診
紅葉,酔う て 候 　 　 紅葉 の 山肌 も
一月,貫く は 乙字 の 師 系 南 畦 忌
紫陽花,大津絵 に あ ぢ さ ゐ 彩 を 点け られ ず
獅子 舞,獅子舞 の 口中 暗し 舞 の 影
紫陽花,風評 と 言 ふ 生き物 よ 七 変化
曼珠沙華,黄泉 の 国 　 国花 は シロバナヒガンバナ
菊,菊花 展 菊 を 斬ら むと 風 の 乱
蝙蝠,蝙蝠 の 逆しま 闇 を 掴み ゐる
秋 の 虹,消え て なほ 残像 空 に 秋 の 虹
みつまた の 花,三椏 の 花 それぞれ に 岐路 あれ ど
流星,非情 といふ 温情 も あり 星 流る
枯野,遥か なる 夢 追 ふ 枯野 師 系 と は
梅雨,トンネル で 途切れ し 記憶 梅雨 の 海
芭蕉 忌,芭蕉 忌 や 夏炉冬扇 といふ 風雅
正月,正月 の 風 一天 を 知り 尽くす
一月,貫く は わが 道 抒情 南 畦 忌
西行 忌,西行 忌 何 の 下 にて われ 死 なむ
梅雨,梅雨 邃 し 海山 空 の 鈍色 に
八月,八月 の 大空 無言 押し通す
紫陽花,紫陽花 の 藍 の ソムリエ 雨風 日
クリスマス,サンタ 殿 ご 来駕 いつも の 煙突 か
七夕,七夕 や 短冊 百 枚 あなた と 書く
冬木,かくれんぼ 皆んな 冬木 に なっ て いる
ぶらんこ,ぶらんこ に たま しい うすく し て 遊ぶ
立冬,あやとり の 橋 を 渡っ て 冬 に 入る
鳥 雲 に,バルハン は 巨 い なる 耳 鳥 雲 に
冬日,赤 げ ら の よう に 林 を 出 ぬ 冬日
鳥 渡る,オベリスク 無き 国 の 空 鳥 渡る
青梅,だれ か 逝く 壜 の 実 梅 の 沈む とき
蛙,遠 蛙 天体 という 薄 明り
秋風,駅舎 出 て 色 なき 風 に 乗り換える
蒲公英,アベ・マリア 野 に 蒲公英 の 乳 溢れ
梅,梅林 で ポップコーン が 爆ぜ て いる
朧,米 を 研ぐ 花 の 朧 に 手 を 入れ て
雁 帰る,雁 帰る 空 の 縫目 を 撓め て は
木の実,木の実 降る 山彦 と なる ほど も なく
耕し,漂流 する 弧状 列島 耕し ぬ
冬,燦 として 冬 の 砂丘 で あり に けり
新年,箸 白く この 年 の 明け ゐ たる か な
秋水,やや 重く なり し 秋水 汲み 上 ぐる
十二月,蹌踉 と 来 て 我 を 抜く 十二月
冬 天,冬 天 に 日輪 の 繭 掛かり けり
花,花 の 奥 へ 奥 へ この世 を 離 るる や
亀 鳴く,亀 鳴く を 聴か むか 夜 の 翠 なる
冬,水 を 火 に のせ て 座り ぬ 冬 の 底
牛蛙,牛蛙 啼け ば 淋しき 地球 か な
八月,川 風 の つよき 広島 八 月来
花火,貌 の 無き 人 と 手 花 火入れ 代る
茄子,茄子 切 つて 実 の 白き かな は は の くに
スピカ,蓬 頭 に 春 の スピカ を 給 はり し
草 矢,騎馬 族 の 血 の いささか か 草 矢 飛ぶ
草 矢,老い て より 草 矢 よく 飛ぶ 不思議 か な
みどりの日,昭和 の 日 残照 ながく あり に けり
葡萄,黒 葡萄 ひと 房 夜 の 穣 か なる
雛,棲ま ぬ 世 の 空 見 て 雛 ながれ ゆく
春 の 星,海 跡 湖 に 遺る 伝説 春 の 星
青き 踏む,青き 踏む 水 は 後ろ へ 流れ けり
盆 の 月,盆 の 月 後ろ を 人 の 通り けり
花 烏賊,隠岐 見え し 日 は 花 烏賊 に なり 眠る
春 の 雪,は は の 忌 の 口 も て 受 くる ぼたん雪
ぶらんこ,ぶらんこ の 鎖 の 匂 昭和 へ 漕ぐ
みどりの日,永 かり し 昭和 で あり し 昭和 の 日
野 焼,縄文 の 人 の 出 て 焼く 荒野 か な
五月,ジーンズ の 尻 美しき 五月 来 ぬ
桐一葉,桐一葉 土 の 記憶 の やや 戻る
冬 木立,なほ 奥 に 人 の 声 あり 冬 木立
もの の 芽,もの ゝ 芽 の 雪 降る とき も 旺 ん なり
雪,戰場 の 猫 に 降る 雪 一 萬 年
秋,風 睡る 秋 あかつき の 子 に 深し
霙,まどろみ の 影 を 小出し に 霙 れ を り
天道虫,アフリカ へ ぞろぞろ てんと むし だ まし
春,鈴 ひとつ 水 に 棲み つく 春 の 昏れ
帚木,帚木 の そよぎ なんなく 忘れ を り
